download_ID,species,decimallongitude,decimallatitude,year
bien_287,Loudetia simplex,47.1502778,-18.1377777,2012
bien_288,Loudetia simplex,30.875,-24.625,1976
bien_289,Loudetia simplex,30.875,-25.125,1932
bien_290,Loudetia simplex,46.426,-20.554753,2016
bien_291,Loudetia simplex,30.375,-30.625,1968
bien_292,Loudetia simplex,31.125,-25.875,1987
bien_293,Loudetia simplex,28.375,-25.625,1925
bien_294,Loudetia simplex,27.875,-25.125,1977
bien_295,Loudetia simplex,46.633333,-20.583333,1964
bien_296,Loudetia simplex,30.875,-29.625,1992
bien_297,Loudetia simplex,45.37475,-22.537694,2013
bien_298,Loudetia simplex,45.25,-22.75,1956
bien_299,Loudetia simplex,46.429083,-20.553869,2016
bien_300,Loudetia simplex,-4.383,11.016,2000
bien_301,Loudetia simplex,30.875,-24.625,1979
bien_302,Loudetia simplex,31.125,-29.125,NA
bien_303,Loudetia simplex,46.466667,-17.866667,1964
bien_304,Loudetia simplex,29.625,-29.875,1987
bien_305,Loudetia simplex,21.23333,8.48333,1983
bien_306,Loudetia simplex,46.579722,-20.567278,2013
bien_307,Loudetia simplex,30.375,-25.375,1993
bien_308,Loudetia simplex,45.37475,-22.537694,2013
bien_309,Loudetia simplex,31.125,-25.125,1952
bien_310,Loudetia simplex,30.875,-25.125,1976
bien_311,Loudetia simplex,29.875,-26.625,1905
bien_312,Loudetia simplex,30.125,-25.625,1976
bien_313,Loudetia simplex,30.875,-24.625,1962
bien_314,Loudetia simplex,27.875,-26.875,1981
bien_315,Loudetia simplex,46.58175,-20.577361,2013
bien_316,Loudetia simplex,29.375,-24.125,1984
bien_317,Loudetia simplex,46.633333,-20.583333,1964
bien_318,Loudetia simplex,29.625,-26.375,1910
bien_319,Loudetia simplex,46.42398,-20.55703,2016
bien_320,Loudetia simplex,31.125,-25.875,1976
bien_321,Loudetia simplex,47.2,-19.416667,1962
bien_322,Loudetia simplex,47.433333,-19.333333,1950
bien_323,Loudetia simplex,30.125,-25.375,1984
bien_324,Loudetia simplex,29.375,-23.875,NA
bien_325,Loudetia simplex,30.875,-24.625,1963
bien_326,Loudetia simplex,45.608139,-22.4955,2017
bien_327,Loudetia simplex,45.833333,-22.458333,1955
bien_328,Loudetia simplex,29.875,-26.625,1942
bien_329,Loudetia simplex,47.683333,-19.633333,1912
